"Service","EC2-Instances($)","DynamoDB($)","Tax($)","EC2-Other($)","Elastic Container Service($)","VPC($)","Relational Database Service($)","Elastic MapReduce($)","Lambda($)","Secrets Manager($)","S3($)","CloudWatch($)","EC2 Container Registry (ECR)($)","Textract($)","Glue($)","Elastic Load Balancing($)","SES($)","Athena($)","Step Functions($)","CloudFront($)","CloudShell($)","API Gateway($)","SNS($)","Key Management Service($)","SQS($)","Service Catalog($)","Cognito($)","DataZone($)","Rekognition($)","CloudWatch Events($)","AppSync($)","Amplify($)","Total costs($)"
"2024-02-19","0","0.0152910196","","1.0894407804","0.5951040974","1.4036167545","1.9513719692","","0.0000000981","0.0693655168","0.0186682517","0.0482760463","0.0308456784","","","0.0000184756","0","","","0","","0","","0","0","","","","","","0","","5.221998688"
"2024-02-20","0","0.5164817569","","1.0844461417","0.596315514","1.3219903694","1.7567072487","","0.0000000594","0.0690055168","0.0206024764","0.0551724144","0.031067946","","","0.0000054772","0","","","0","","0","","0","0","","0","","","","0","","5.4517949209"
"2024-02-21","0","17.2464790484","","1.0862400977","0.5967847415","1.3213389833","1.4640616244","","0.0000000025","0.0694805168","0.0190486887","0.0551724144","0.0315237539","","","0.0000385913","","","0","0","","0","0","0","0","","0","","","","0","0","21.8901684629"
"2024-02-22","0","16.0306683983","","1.0862808738","0.5966742839","1.3200000878","1.4640616258","","0.0000002039","0.0640033904","0.0237753884","0.0551724144","0.0318476496","","","0.0000155209","0.000032957","","","0","","0","0","0","0","","","","","","0","0","20.6725327942"
"2024-02-23","0","0.1970971719","","1.0861766296","0.5968396712","1.3206681479","1.4640616244","","0.0000000025","0.0696155168","0.0197411284","0.0551724144","0.0318757834","","","0.0000015158","","","","0","","0","","0","0","","0","","","","0","","4.8412496063"
"2024-02-24","0","0.0141796933","","1.08423797","0.595104","1.3200001817","1.4640616244","","0.000000096","0.0691805168","0.0185107225","0.0551724144","0.0320480424","","","0.0000003729","0","","","0","","0","0","","0","","","","","","0","","4.6524956344"
"2024-02-25","0","0.0151784974","","1.0841034156","0.595104","1.3200000896","1.4640616244","","0.0000000139","0.0690105168","0.0184515757","0.0551724144","0.0320480424","","","0.0000394238","0","","","0","","0","","0","0","","","","","","0","0","4.653169614"
"2024-02-26","0","0.778131443","","1.0843340649","0.595104","1.3200000922","1.4640616244","","0.000000039","0.0691255168","0.0186916075","0.0551724144","0.0320480424","","","0.0000077083","0","","","0","","0","","0","0","","","","","","0","","5.4166765529"
"2024-02-27","0","0.6163642763","","1.0912849985","0.5987681614","1.326027044","1.4640616244","","0.0000000319","0.0696105168","0.0184566082","0.0551724144","0.0326684016","","","0.000011115","0","","","0","","0","","0","0","","0","","","","0","","5.2724251925"
"2024-02-28","0","0.6336910808","","1.0848163262","0.5952793792","1.3206181425","1.4640616244","","0.0000000024","0.0694555168","0.0184616082","0.0551724144","0.0334508136","","","0.0000400824","","","","0","","0","0","","0","","","","","","0","","5.2750469909"
"2024-02-29","0","0.516685863","","1.085893435","0.5960176613","1.3214446072","1.4640616244","","0.0000000196","0.0695855168","0.0248018059","0.0551724144","0.0334508136","","","0.0000055354","0","","","0","","0","0","0","0","","","","","","0","0","5.1671192966"
"2024-03-01","0","0.0248614655","31.98","1.0871487427","0.5958450676","0.9620903678","0.0019931326","","0.0000000418","0.065381128","0","0","0","","","0.000008389","0.0000633283","","","0","","0","","","0","","0","","","","0","0","34.7173916633"
"2024-03-02","0","0.0131298964","","1.0840128644","0.595104","0.9600001784","0.0019931333","","0.0000000169","0.064706128","0","0","0.0132418642","","","0.0000084955","0","","","0","","0","","0","0","","","","","","0","","2.7321965771"
"2024-03-03","0","0.0158956794","","1.0839645658","0.5952563686","0.9600000894","0.0019931326","","0.0000000135","0.064576128","0","0","0.0318551016","","","0.0000012562","0","","","0","","0","","","0","","","","","","0","","2.7535423351"
"2024-03-04","0","0.0511549872","","1.084442775","0.5956154423","0.9600000894","0.0019931326","","0.0000000502","0.065441128","0","0","0.0319750968","","","0.0000032601","0","","","0","","0","","","0","","0","","","","0","","2.7906259616"
"2024-03-05","0","0.0158933149","","1.0850913982","0.5953903665","0.9600001694","0.0019931326","","0.0000000188","0.065331128","0.13352","0","0.0322956179","","","0.0000012458","0","","","0","","0","","","0","","0","","","","0","","2.8895163921"
